sample_id	start	end	extraction	context
1476929152821432323	224	238	enfermedades 💉	uberculosis y otras enfermedades 💉🔬 https://t.co/RAkM6
1473812805530836997	129	136	autismo	oyAutista #burnout #autismofemenino https://t.c
1495444232269705217	250	257	autista	"dyExLCDjM
#Autismo #autistasresponden #autista
"
1488184475007782915	223	245	Exodoncia de incisivos	"itis crónica felina
Exodoncia de incisivos por deformidad de l"
1488184475007782915	200	222	Rinitis crónica felina	"a leucemia
Castrado
Rinitis crónica felina
Exodoncia de incisi"
1460166935539290113	261	270	Alzheimer	onacionalalzheimer @AlzheimerCeafa https://t.co/k
1436503396639514634	123	139	trastorno mental	% s el resultado d 1trastorno mental no diagnosticado o 
1443971719341821957	184	196	piediabetico	"/E3s9Y8GKG5 
#traselpiediabetico


"
1475220011350474758	4	38	ipercolesterolemia heredofamiliar 	La Hipercolesterolemia heredofamiliar (FH) se caracteriza 
1357189697043316738	131	136	Covid	"xl4H
#NoLeCreo
#AmloCovidiota 
#NiUnVotoAMORE"
1496318418554925064	229	239	NeuroCOVID	"stornos del Sueño
▪️NeuroCOVID
Convocatoria: https"
1496318418554925064	179	202	Enfermedad de Parkinson	"z
▪️Control Motor
▪️Enfermedad de Parkinson 
▪️Trastornos del S"
1496318418554925064	206	226	Trastornos del Sueño	"dad de Parkinson 
▪️Trastornos del Sueño
▪️NeuroCOVID
Convoc"
1491324366205820929	185	192	OVID19 	palizar #SARSCoV2 #COVID19 #Coronavirus #CovidP
1494892006522466305	264	272	diabetES	"yQwGinP

#diabetes #diabetESP https://t.co/bveTx"
1318500597172154368	41	49	DIABETES	ta directiva de FENADIABETES por su gentil invit
1450443852037476352	241	253	osteoporosis	" ósea. 
Sarcopenia🤝 osteoporosis. https://t.co/YtOZV"
1450443852037476352	229	239	Sarcopenia	"️ menos masa ósea. 
Sarcopenia🤝 osteoporosis. http"
1151857529724575746	75	84	epilepsia	"udemos #crisis #rd #epilepsiamd 
CEDIAH, ubicado "
1426236741883727878	32	37	gripe	s alérgica y además gripe resfriado más algo 
1426236741883727878	38	47	resfriado	gica y además gripe resfriado más algo de ansieda
1456001523117330438	25	29	Reum	eso de la @SMurcianaReuma, con temas muy int
1367458553628401670	183	190	COVID19	"A
#Asperger
#VacunasCOVID19 https://t.co/nHhe8K"
1367458553628401670	73	81	Asperger	"sociosanitarios de @AspergerMadrid 
Gracias a @m"
1452861250682109956	16	21	covid	A q no!!! Y postcovid-》 hipotiroidismo, h
1370017529884770304	246	255	psoriasis	"os.
dominic.urmston@psoriasis-association.org.uk "
1227082149377036289	45	61	cáncer de pulmón	entes fumadores con cáncer de pulmón somos capaces de en
1494238954207551492	269	277	diabetES	"7Or73JF

#diabetes #diabetESP https://t.co/OVXeL"
1407020531262570505	110	114	EMSF	e postviral. En la #EMSFC la mayor tasa de m
1168532535174823936	104	112	ansiedad	aques de pánico, de ansiedad, insomnio, males es
1477547576232759300	223	243	Esclerosis Sistémica	" Autoinflamatorias
✅Esclerosis Sistémica
✅COVID-19
... y muc"
1477547576232759300	179	189	Vasculitis	"
✅Lupus
✅Miopatías
✅Vasculitis
✅Enfermedades Autoi"
1477547576232759300	191	221	Enfermedades Autoinflamatorias	"patías
✅Vasculitis
✅Enfermedades Autoinflamatorias
✅Esclerosis Sistémi"
1477547576232759300	168	177	Miopatías	".
Accede a:
✅Lupus
✅Miopatías
✅Vasculitis
✅Enferm"
1477547576232759300	161	166	Lupus	"r temas.
Accede a:
✅Lupus
✅Miopatías
✅Vasculi"
1477547576232759300	245	253	COVID-19	"clerosis Sistémica
✅COVID-19
... y mucho MAS! ht"
1251173787527196673	60	70	hemophilia	tor Ejecutivo de @wfhemophilia, el entusiasmo que 
1251173787527196673	159	168	Hemofilia	la presidencia de  @HemofiliaJal  #gentequeinspir
1441085556608290827	242	248	cancer	nvestigacióncontraelcancer #rabdocors https://
1427177914685083649	49	57	ansiedad	 de mi oido derecho ansiedad ten una hernia lumb
1427177914685083649	66	79	hernia lumbar	ho ansiedad ten una hernia lumbar problema de sueño n
1427177914685083649	80	97	problema de sueño	n una hernia lumbar problema de sueño necesito ayuda para
1427177914685083649	10	48	perdida de audición de mi oido derecho	Çardiaca, perdida de audición de mi oido derecho ansiedad ten una he
1448578393100927001	155	163	diabetES	"//t.co/hTnHyaFVk9
 #diabetESP #DM2 #telemedicina"
1386968579296403457	256	272	fibrosisquística	ica #díanacionaldelafibrosisquística https://t.co/kB4WT9
1365442031363964928	156	173	#ObesidadInfantil	"COVID19. 
#Obesidad #ObesidadInfantil 
#AlimentaciónSalud"
1365442031363964928	147	155	Obesidad	"poca de #COVID19. 
#Obesidad #ObesidadInfantil 
"
1353006692930375682	86	99	abdomen agudo	 post trauma y otro abdomen agudo Hemorragia Psoas  a
1353006692930375682	155	164	Hemofilia	gracias a donación @HemofiliaRD , @wfhemophilia  
1353006692930375682	100	116	Hemorragia Psoas	 otro abdomen agudo Hemorragia Psoas  a DC apendicitis g
1353006692930375682	172	182	hemophilia	n @HemofiliaRD , @wfhemophilia  necesitamos factor
1443530817632886786	218	230	piediabetico	"o/8BLIobW1Te
#traselpiediabetico


"
1496828520416296962	270	278	diabetES	"WBCMLCr

#diabetes #diabetESP https://t.co/aKSfS"
1449262758411841539	88	102	cáncer de mama	"s de la terapia del cáncer de mama?
Os dejo un artícul"
1449262758411841539	181	187	cancer	niciativa #juntosxelcancer este año por el cán
1495850574960599054	230	242	piediabetico	o/gA198nKVt8 #traselpiediabetico https://t.co/uJk3Ey
1355727943616528389	116	130	pericarditis ✨	peoró. Y llegó la ✨ pericarditis ✨. Y todo terminó de 
1371158070622044160	175	188	endometriosis	"🤦‍♀️
#diamundialdelaendometriosis https://t.co/oZ3AEp"
1371863900321382402	16	24	diabetes	"#repost @healthydiabetes.mx
・・・
Hagamos de l"
1341276786236125184	11	19	diabetes	Gracias a @diabetes_CERO y a las famili
1494038891078242306	267	275	diabetES	"4QzRmhU

#diabetes #diabetESP https://t.co/9DVsK"
1476181571237466120	220	224	epoc	ientes con EPOC, @apepoc_es, nos encantaría 
1239906422567157760	176	185	psoriasis	"asis “ .
@soarpso_ @psoriasisifpa @silviafbarrio "
1156632518587637761	191	219	Enfermedades Neuromusculares	sclerosis múltiple.🔸Enfermedades Neuromusculares.🔸Traumatismos crane
1156632518587637761	170	190	Esclerosis múltiple.	igraña. 🔸Epilepsia.🔸Esclerosis múltiple.🔸Enfermedades Neurom
1156632518587637761	61	70	🔸Demencia	"a especialidad son:
🔸Demencia y trastornos cognit"
1156632518587637761	96	122	Enfermedad Cerebrovascular	stornos cognitivos.🔸Enfermedad Cerebrovascular.🔸Enfermedad de Park
1156632518587637761	73	95	trastornos cognitivos.	"ad son:
🔸Demencia y trastornos cognitivos.🔸Enfermedad Cerebrov"
1348728776449011723	122	129	COVID19	"os!
#COVID19 #VacunaCOVID19 #YoMeProtejoYoTePro"
1186930272291475456	235	243	Epilepsy	"oblema. #epilepsia @EpilepsyFdn
https://t.co/R6l"
1456914782863470593	122	128	Reuma⁩	congreso ⁦@SMurcianaReuma⁩ https://t.co/cRvKbl
1450033924651077635	226	238	espondilitis	itis #espondilitis #espondilitisespaña #DíaNacionalD
1443563693866983427	160	168	diabetES	os tus dudas  #DM2 #diabetESP #vacaciones https:
1222477696548122625	228	237	epilepsia	"apoyo. #visibilizalaepilepsia #epilepsia
👉https:/"
1155488099172061187	229	247	hepatitis virales”	ratar. Eliminar las hepatitis virales”. #DíaMundialHepatit
1143702284641165313	203	211	artrosis	ombia. #tratamientosartrosis… https://t.co/HYeR1
1367540383425691651	156	161	Covid	 iso neste #8MmaliaACovid reclamamos perspect
1240281223160832000	106	118	hipertensión	e 60 años diabética hipertensión y otras cosas yo pa
1240281223160832000	96	105	diabética	 mamá tiene 60 años diabética hipertensión y otra
1464152978340950017	148	154	COVID…	 tengo el pasaporte COVID… esto cada vez es de
1419226781563990016	252	259	autismo	"utism
#estotambienesautismo
#TEA
#autismo https"
1495012808395739139	269	277	diabetES	"vAu8a9z

#diabetes #diabetESP https://t.co/1P0LC"
1404741254764707841	240	249	diabeteES	"://t.co/pX5mKT8mCS
#diabeteESP #COVID19 https://t"
1418480313655824387	248	255	autismo	"smo
#TEA
#hablemosdeautismo
#Autism 
⬇️⬇️⬇️


"
1201531563500081153	163	170	migraña	"la ciudad. #Dominatumigraña





"
1213086581126553600	39	48	depresión	e el artículo sobre depresión manias y bipolarida
1213086581126553600	49	55	manias	ulo sobre depresión manias y bipolaridades de 
1493408481575149568	266	274	diabetES	"bHjfIdL

#diabetes #diabetESP https://t.co/Ff8kQ"
1497313274718789637	218	245	linfoma de células grandes”	del tratamiento del linfoma de células grandes”. Es un placer parti
1307293336143884290	32	45	daño nervioso	flamación cerebral, daño nervioso y ACV relacionados 
1307293336143884290	10	31	inflamación cerebral,	Delirium, inflamación cerebral, daño nervioso y ACV
1393624898174472192	141	146	Reuma	sión. @ColMexReuma @ReumaJoven #CMR2021 https
1479301787253362690	270	278	diabetES	"y5T7seu

#diabetes #diabetESP https://t.co/9E3Cd"
1451131575836585993	243	246	VIH	"ompromisos 🙌 #40añosVIH
🔗https://t.co/ktCNu"
1248898331109179392	123	131	diabetes	"/uBkWGphNac vía @fundiabetes #covid19


"
1136629576501780480	77	86	epilepsia	"udemos #crisis #rd #epilepsiamd 
Para programar u"
1461008123347537935	154	162	cáncer 👇	"o para este tipo de cáncer 👇
#LoQueNoPuedeEspera"
1333393344739876865	128	135	COVID19	" Covid-19!
#PrevenirCOVID19 #iniciodesemana #Fe"
1308885368234741761	242	250	suicidio	"cidio #prevenciondelsuicidio





"
1493423589672079361	189	197	diabetES	"d75Fe2A

#diabetes #diabetESP https://t.co/RCgGP"
1466680167888207874	252	260	Artritis	"COCEMFEnacional
@ConArtritisMAD
#FFpaciente http"
1194921665416679424	252	260	diabetES	"ilada!
#dmd19 #dmd #diabetESP #diabetes #dm1 htt"
1494791230206595075	29	37	asperger	el #diainternacionalasperger con una charla-colo
1345703846312603650	109	117	Sarcomas	drosarcoma. @GaliciaSarcomas nace para mellorar 
1470328810960789506	33	46	tuberculosis…	"umonía, meningitis, tuberculosis… y Covid-19
https://"
1187074237057699841	163	171	infertil	"Fqe👈
#mifertilidad #infertilpandy #reproducciona"
1478080164059828225	193	199	herpes	"on-.
Covid- gripe y herpes
Fluronpes próximame"
1478080164059828225	200	209	Fluronpes	"vid- gripe y herpes
Fluronpes próximamente en los"
1350482703653740545	61	68	COVID19	 a  Vacunar  #VacunaCOVID19  a los residentes d
1331566208731254787	146	154	diabetES	"iabetes?
#diabetes #diabetESP #diabetestipo2


"
1187029336920088577	133	141	diabetes	"tes
#diabuddies
#condiabetessepuede https://t.co"
1172145113784627200	107	116	epilepsia	udemos #crisis #rd #epilepsiamd https://t.co/exbC
1112706924640915462	231	244	fatigacronica	ivirconfibromialgiayfatigacronica https://t.co/HDrpIk
1112706924640915462	218	230	fibromialgia	romialgia. #vivirconfibromialgiayfatigacronica https
1486397473648254982	120	126	gripe…	umonía, bronquitis, gripe…) y las descompensac
1396737738318155778	258	267	epilepsia	"o/8fOerxWpoJ  
@fedeepilepsia @SEEPilepsia https:"
1396737738318155778	271	280	EPilepsia	" 
@fedeepilepsia @SEEPilepsia https://t.co/qugm67"
1396737738318155778	169	177	Epilepsi	la Dra Mar Carreño @Epilepsibcn y @pau_inspirafi
1378044645586964489	110	117	Autismo	"l @IESElGreco @FederAutismoCLM 
#TEA 
#autismo "
1378044645586964489	58	65	autismo	mos las #piezasporelautismo de alumnos de 1ºESO
1494382407398662147	266	274	diabetES	"T3CzWnV

#diabetes #diabetESP https://t.co/KqX4H"
1253740705312366593	213	222	sexolicos	"rsonales. Ayuda en: sexolicosanonimos
https://t.c"
1290157342563037184	32	37	covid	todo es covid covid covid siento que me volve
1290157342563037184	20	25	covid	Noooooooooo todo es covid covid covid siento 
1290157342563037184	26	31	covid	ooooo todo es covid covid covid siento que me
1367211569134723074	194	197	BPD	"RSONALITY DISORDER
#BPD 
#TLP


"
1367211569134723074	199	203	#TLP	"LITY DISORDER
#BPD 
#TLP


"
1367211569134723074	125	160	TRASTORNO LIMITE DE LA PERSONALIDAD	"n estos episodios. 
TRASTORNO LIMITE DE LA PERSONALIDAD
BORDERLINE PERSONAL"
1367211569134723074	200	203	TLP	"ITY DISORDER
#BPD 
#TLP


"
1367211569134723074	161	192	BORDERLINE PERSONALITY DISORDER	" DE LA PERSONALIDAD
BORDERLINE PERSONALITY DISORDER
#BPD 
#TLP


"
1460246777790148618	146	153	COVID19	"ón, gracias.
#VacunaCOVID19 #vacunainfluenza #C"
1447232152408625167	86	93	otitis…	quitis, faringitis, otitis…) y la princesa de l
1311960887721439232	51	59	diabetes	lema cuando tienes #diabetesp. Te enseñamos a id
1269549957637386244	221	229	obesidad	dar #Covid_19? @seenobesidad @sociedadSEEN  @Soc
1332204326207557632	208	215	sjogren	 musculares, etc @aesjogren @SEReumatologia @GE
1378548890912362497	142	150	diabetes	ll Dr. Alcocer.  @fmdiabetes @AsocMexDiabetes @s
1446792630969450497	167	175	artrosis	ura. #LaartritisNOesartrosis. #Laartritisnoesuna
1446792630969450497	180	188	artritis	tisNOesartrosis. #Laartritisnoesunaenfermedaddev
1446792630969450497	155	163	artritis	s no tiene cura. #LaartritisNOesartrosis. #Laart
1427298774041468931	115	123	diabetes	"uita nadie. 
.
.
.
#diabetes #diabetestipo1 #viv"
1427298774041468931	124	138	#diabetestipo1	"e. 
.
.
.
#diabetes #diabetestipo1 #vivircondiabetes #"
1427298774041468931	148	156	diabetes	betestipo1 #vivircondiabetes #diabetestipofree #
1392572974713167874	125	137	Fibromialgia	"DeMayoDiaMundialDeLaFibromialgia 
#NoSomosInvisibles"
1304631952927002631	131	142	tabaquisimo	"to en el consumo de tabaquisimo y alcohol.
De acuer"
1440366473650663429	153	161	diabetES	d. @aarp #diabetes #diabetESP https://t.co/o9KIB
1496474926332592129	107	121	Nail psoriasis	"oriasis en las uñas
Nail psoriasis
https://t.co/AokeVP"
1496474926332592129	68	84	Psoriasi ungueal	"a fungal infection!
Psoriasi ungueal
Psoriasis en las uñ"
1496474926332592129	85	106	Psoriasis en las uñas	"n!
Psoriasi ungueal
Psoriasis en las uñas
Nail psoriasis
http"
1452681303002861570	232	251	Esteatosis hepatica	"l paciente con EII
🔹Esteatosis hepatica. 
Esperamos guste 🤞"
